from,to,codi
9,11,ES100MSPF2000010
10,11,ES100MSPF2000010
17,15,ES100MSPF2000030
16,15,ES100MSPF2000030
15,14,ES100MSPF2000030
18,14,ES100MSPF2000030
14,1,ES100MSPF2000030
1,13,ES100MSPF2000040
19,13,ES100MSPF2000050
13,12,ES100MSPF2000040
11,12,ES100MSPF2000020
12,20,ES100MSPF2000060
21,20,ES100MSPF2000070
20,22,ES100MSPF2000060
88,22,ES100MSPF2000080
22,23,ES100MSPF2000090
24,23,ES100MSPF2000100
23,25,ES100MSPF2000090
87,25,ES100MSPF2000110
25,26,ES100MSPF2000090
8,26,ES100MSPF2000140
86,8,ES100MSPF2000130
85,8,ES100MSPF2000130
26,27,ES100MSPF2000150
2,27,ES100MSPF2000180
28,2,ES100MSPF2000170
27,29,ES100MSPF2000150
30,29,ES100MSPF2000200
40,30,ES100MSPF2000200
31,30,ES100MSPF2000200
32,31,ES100MSPF2000195
33,31,ES100MSPF2000195
34,33,ES100MSPF2000195
37,33,ES100MSPF2000195
35,34,ES100MSPF2000195
36,34,ES100MSPF2000195
38,37,ES100MSPF2000195
39,37,ES100MSPF2000190
29,3,ES100MSPF2000210
3,41,ES100MSPF2000220
84,41,ES100MSPF2000230
41,42,ES100MSPF2000220
43,42,ES100MSPF2000240
44,43,ES100MSPF2000240
45,43,ES100MSPF2000240
42,46,ES100MSPF2000223
7,46,ES100MSPF2000223
83,7,ES100MSPF2000250
46,47,ES100MSPF2000227
82,47,ES100MSPF2000260
47,48,ES100MSPF2000280
49,48,ES100MSPF2000290
48,50,ES100MSPF2000280
79,50,ES100MSPF2000300
80,79,ES100MSPF2000300
81,79,ES100MSPF2000300
50,51,ES100MSPF2000280
78,51,ES100MSPF2000310
51,52,ES100MSPF2000280
53,52,ES100MSPF2000320
52,54,ES100MSPF2000280
6,54,ES100MSPF2000370
55,6,ES100MSPF2000360
65,55,ES100MSPF2000360
56,55,ES100MSPF2000360
64,56,ES100MSPF2000360
57,56,ES100MSPF2000360
58,57,ES100MSPF2000330
59,57,ES100MSPF2000340
60,59,ES100MSPF2000340
61,59,ES100MSPF2000340
62,61,ES100MSPF2000340
63,61,ES100MSPF2000340
54,66,ES100MSPF2000380
74,66,ES100MSPF2000410
76,74,ES100MSPF2000400
75,74,ES100MSPF2000390
66,67,ES100MSPF2000420
73,67,ES100MSPF2000430
67,68,ES100MSPF2000420
69,68,ES100MSPF2000435
68,70,ES100MSPF2000420
72,70,ES100MSPF2000440
70,71,ES100MSPF2000460
