from;to;codi
1;3;ES100MSPF2000010
2;3;ES100MSPF2000010
3;94;ES100MSPF2000020
4;12;ES100MSPF2000060
5;4;ES100MSPF2000040
6;104;ES100MSPF2000030
7;6;ES100MSPF2000030
8;7;ES100MSPF2000030
9;7;ES100MSPF2000030
10;6;ES100MSPF2000030
11;5;ES100MSPF2000050
12;105;ES100MSPF2000060
13;12;ES100MSPF2000070
14;15;ES100MSPF2000090
15;111;ES100MSPF2000090
16;15;ES100MSPF2000100
17;18;ES100MSPF2000090
18;116;ES100MSPF2000150
19;100;ES100MSPF2000150
20;81;ES100MSPF2000170
21;103;ES100MSPF2000210
22;21;ES100MSPF2000200
23;22;ES100MSPF2000200
24;117;ES100MSPF2000195
25;23;ES100MSPF2000195
26;25;ES100MSPF2000195
27;26;ES100MSPF2000195
28;26;ES100MSPF2000195
29;25;ES100MSPF2000195
30;114;ES100MSPF2000195
31;106;ES100MSPF2000190
32;98;ES100MSPF2000200
33;34;ES100MSPF2000220
34;38;ES100MSPF2000223
35;34;ES100MSPF2000240
36;35;ES100MSPF2000240
37;35;ES100MSPF2000240
38;86;ES100MSPF2000227
39;137;ES100MSPF2000280
137;40;ES100MSPF2000280
40;138;ES100MSPF2000280
138;91;ES100MSPF2000280
41;108;ES100MSPF2000290
42;43;ES100MSPF2000280
43;44;ES100MSPF2000280
44;46;ES100MSPF2000280
45;44;ES100MSPF2000320
46;142;ES100MSPF2000380
142;141;ES100MSPF2000380
141;90;ES100MSPF2000380
47;101;ES100MSPF2000360
48;47;ES100MSPF2000360
49;102;ES100MSPF2000360
50;115;ES100MSPF2000330
51;49;ES100MSPF2000340
52;51;ES100MSPF2000340
53;95;ES100MSPF2000340
54;53;ES100MSPF2000340
55;53;ES100MSPF2000340
56;48;ES100MSPF2000360
57;47;ES100MSPF2000360
58;96;ES100MSPF2000420
59;60;ES100MSPF2000420
60;97;ES100MSPF2000420
61;60;ES100MSPF2000435
62;88;ES100MSPF2000460
64;62;ES100MSPF2000440
65;59;ES100MSPF2000430
66;92;ES100MSPF2000410
67;66;ES100MSPF2000390
68;66;ES100MSPF2000400
69;43;ES100MSPF2000310
70;107;ES100MSPF2000300
71;70;ES100MSPF2000300
72;70;ES100MSPF2000300
73;99;ES100MSPF2000260
74;84;ES100MSPF2000250
75;110;ES100MSPF2000230
76;85;ES100MSPF2000130
77;85;ES100MSPF2000130
78;17;ES100MSPF2000110
79;14;ES100MSPF2000080
80;5;ES100MSPF2000040
81;19;ES100MSPF2000180
82;33;ES100MSPF2000220
83;46;ES100MSPF2000370
84;38;ES100MSPF2000223
85;18;ES100MSPF2000140
86;136;ES100MSPF2000227
87;113;ES100MSPF2000460
88;143;ES100MSPF2000460
143;144;ES100MSPF2000460
144;87;ES100MSPF2000460
89;39;ES100MSPF2000227
90;58;ES100MSPF2000380
91;139;ES100MSPF2000280
139;140;ES100MSPF2000280
140;93;ES100MSPF2000280
92;58;ES100MSPF2000410
93;42;ES100MSPF2000280
94;109;ES100MSPF2000020
95;51;ES100MSPF2000340
96;59;ES100MSPF2000420
97;62;ES100MSPF2000420
98;22;ES100MSPF2000200
99;39;ES100MSPF2000260
100;21;ES100MSPF2000150
101;83;ES100MSPF2000360
102;48;ES100MSPF2000360
103;82;ES100MSPF2000210
104;80;ES100MSPF2000030
105;14;ES100MSPF2000060
106;112;ES100MSPF2000190
107;42;ES100MSPF2000300
108;40;ES100MSPF2000290
109;4;ES100MSPF2000020
110;33;ES100MSPF2000230
111;17;ES100MSPF2000090
112;29;ES100MSPF2000190
113;63;ES100MSPF2000460
114;29;ES100MSPF2000195
115;49;ES100MSPF2000330
116;19;ES100MSPF2000150
117;23;ES100MSPF2000195
136;89;ES100MSPF2000227
